Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,UV Response Dn,0.6549253163157481,2.19170305431078,1.000000e-03,6.453453e-02,1.700000e-02,69/143,10.01%,GJA1;ATP2B1;INPP4B;IGFBP5;COL5A2;AKT3;ATRX;APBB2;SLC7A1;FHL2;LTBP1;IRS1;PDLIM5;RGS4;SYNJ2;LPAR1;ATP2B4;ABCC1;ADGRL2;IGF1R;ZMIZ1;GRK5;PDGFRB;MMP16;SNAI2;COL1A2;SMAD3;PHF3;TOGARAM1;NOTCH2;F3;KALRN;KIT;COL3A1;CDON;MAP1B;MAGI2;PTPRM;LAMC1;TJP1;ATRN;COL11A1;VLDLR;VAV2;NR3C1;LDLR;NIPBL;BDNF;SIPA1L1;ATXN1;SERPINE1;SCAF8;NR1D2;NFKB1;HAS2;BMPR1A;SCN8A;COL1A1;SFMBT1;DAB2;PLCB4;CDK13;ID1;MYC;GCNT1;AMPH;ACVR2A;DLG1;PMP22
gsea,TGF-beta Signaling,0.6443043636146721,2.1337475560974646,2.016129e-03,5.671216e-02,2.700000e-02,32/54,20.25%,HIPK2;THBS1;APC;SMAD1;PMEPA1;SMAD3;TGFBR1;SPTBN1;TJP1;FURIN;LTBP2;BMPR2;SERPINE1;ARID4B;BMPR1A;BMP2;TRIM33;BCAR3;ID1;NCOR2;XIAP;SLC20A1;RAB31;SKIL;SMAD7;SMURF1;WWTR1;SKI;PPM1A;KLF10;CTNNB1;ACVR1
gsea,Mitotic Spindle,0.6310748270286444,2.077275741314538,1.960784e-03,6.518639e-02,4.500000e-02,111/198,16.53%,ARHGAP5;MYO1E;DYNC1H1;RASA1;STK38L;PDLIM5;NF1;APC;ROCK1;ALMS1;KIF20B;CLIP1;CENPF;EPB41L2;CLIP2;PLEKHG2;NIN;FGD4;FLNB;FARP1;RASAL2;MYH10;PALLD;VCL;PCM1;FGD6;NOTCH2;SPTBN1;CENPE;CKAP5;KIF3B;ECT2;PCGF5;SHROOM2;AKAP13;SMC3;SMC1A;SORBS2;SOS1;DST;KIF11;PKD2;LATS1;LMNB1;ARHGEF12;ALS2;OPHN1;INCENP;SSH2;CEP250;MID1;PLK1;ITSN1;BCAR1;RALBP1;KIF1B;RACGAP1;CCDC88A;ABL1;CLASP1;CEP192;TRIO;EPB41;SPTAN1;CNTRL;ANLN;RFC1;ESPL1;ABR;ARAP3;RAPGEF5;PAFAH1B1;KIF4A;KIF23;KIF3C;BCL2L11;TPX2;TLK1;RABGAP1;ARHGEF11;DLGAP5;CDC27;DLG1;TUBGCP5;FSCN1;PXN;FBXO5;AURKA;ARFGEF1;TOP2A;TIAM1;SYNPO;CD2AP;MARCKS;BRCA2;WASF2;HOOK3;KIF5B;NEK2;KIF15;DOCK2;PCNT;SUN2;MYH9;RAB3GAP1;CCNB2;RICTOR;BCR;KNTC1;SMC4;CDC42BPA
gsea,Hypoxia,0.5165764605723905,2.037440868991503,1.000000e-03,7.186800e-02,6.200000e-02,88/199,21.45%,CA12;STC1;COL5A1;NOCT;AKAP12;PFKP;LOX;KLF7;TGFB3;IRS2;AK4;PPARGC1A;LARGE1;SLC2A1;F3;STC2;PCK1;BCL2;NDST1;INHA;PDGFB;ETS1;VLDLR;ALDOA;NR3C1;RORA;ZNF292;HK2;BCAN;SERPINE1;AMPD3;SLC2A3;EXT1;GBE1;ERO1A;PGF;TMEM45A;FOXO3;CCN2;ACKR3;SLC6A6;TNFAIP3;PGM2;ADM;TPBG;CSRP2;PDK3;B4GALNT2;XPNPEP1;MAP3K1;IDS;FOSL2;KDM3A;ATP7A;SCARB1;IGFBP1;PDK1;CCNG2;HOXB9;TGFBI;MAFF;SAP30;EGFR;IER3;ENO2;HS3ST1;MYH9;P4HA1;SLC2A5;DPYSL4;ANGPTL4;HDLBP;PKP1;P4HA2;SDC2;KLF6;TGM2;PLAUR;HK1;GPC1;IL6;CDKN1A;LDHA;CHST3;PRKCA;NDRG1;SRPX;FOS
gsea,Androgen Response,0.5222121139430435,2.0308839483744965,6.211180e-03,6.023223e-02,6.400000e-02,45/100,22.03%,INPP4B;ABHD2;AKAP12;PDLIM5;CDK6;PMEPA1;ZMIZ1;SEC24D;SLC26A2;ANKH;MAF;HMGCR;CDC14B;ACTN1;ELK4;ACSL3;NKX3-1;ARID5B;ITGAV;PIAS1;MAP7;LMAN1;IQGAP2;ADAMTS1;HMGCS1;SLC38A2;CENPN;SORD;PGM3;RPS6KA3;CCND1;ELL2;CAMKK2;GUCY1A1;SPCS3;ZBTB10;TNFAIP8;SPDEF;PTPN21;AKT1;FADS1;NDRG1;RRP12;SCD;HERC3
gsea,Estrogen Response Early,0.5108463935508111,1.9736271774424,6.237006e-03,7.529028e-02,9.200000e-02,89/198,22.66%,MED13L;GJA1;CA12;TFF1;ABHD2;FHL2;SLC24A3;SEC14L2;NRIP1;IGF1R;FLNB;FARP1;NAV2;PODXL;AFF1;SLC2A1;THSD4;STC2;SLC26A2;SLC16A1;SLC7A2;BCL2;SLC39A6;RET;MAST4;CELSR1;KLF4;HR;BCL11B;ABLIM1;ADCY1;TMEM164;SLC7A5;KLK10;DYNLT3;PDLIM3;FRK;TMPRSS3;MINDY1;TPBG;SLC1A4;ELOVL2;MYC;CELSR2;NCOR2;AR;MYOF;NPY1R;SCARB1;CCND1;KDM4B;SVIL;TIAM1;EGR3;WWC1;CYP26B1;RAB31;TFF3;PRSS23;GAB2;RETREG1;JAK2;FASN;OPN3;FKBP4;TSKU;CHPT1;ELF1;ISG20L2;CANT1;ITPK1;MPPED2;TGM2;RBBP8;MYB;CD44;SH3BP5;LRIG1;KLF10;KAZN;INPP5F;TGIF2;CALB2;FOS;RRP12;PGR;MSMB;BHLHE40;PMAIP1
gsea,Hedgehog Signaling,0.6452596122441961,1.9669023916386945,2.000000e-03,6.788697e-02,9.500000e-02,19/36,15.10%,RASA1;UNC5C;NF1;CDK6;NRP2;CDK5R1;VLDLR;CELSR1;OPHN1;SCG2;GLI1;THY1;HEY2;ETS2;PTCH1;TLE3;ADGRG1;MYH9;CRMP1
gsea,Epithelial Mesenchymal Transition,0.6714317932346009,1.9087024862588557,1.010101e-02,9.020167e-02,1.250000e-01,118/200,18.13%,MXRA5;GJA1;NID2;THBS2;PTHLH;COL5A2;VCAN;COL5A1;COL12A1;INHBA;THBS1;COL4A1;COL4A2;VEGFC;LRP1;COL6A3;LAMA3;SGCB;FBN1;RGS4;ITGA2;COL5A3;LOX;ITGB1;LOXL2;PMEPA1;POSTN;ADAM12;SPOCK1;CDH6;CALD1;SLC6A8;PDGFRB;ITGA5;FOXC2;SNAI2;CDH11;COL1A2;CDH2;SERPINE2;LAMC2;MYLK;SLIT2;SFRP1;SGCD;NOTCH2;PVR;FN1;EDIL3;COL3A1;FMOD;BASP1;DPYSL3;PRRX1;ACTA2;FGF2;ECM2;LAMC1;LAMA2;MMP1;LAMA1;COL16A1;COL11A1;DST;PLOD2;DKK1;BDNF;TPM1;CXCL8;FAP;SERPINE1;NTM;COL7A1;ITGAV;SCG2;FBLN1;CCN2;VCAM1;FSTL1;PRSS2;THY1;LRRC15;GAS1;TNFAIP3;COL1A1;DAB2;SLIT3;LOXL1;GREM1;MMP14;FBN2;MMP2;WIPF1;GEM;PMP22;CXCL1;MSX1;ITGB5;COL6A2;TNC;OXTR;TGFBI;FERMT2;BMP1;ENO2;TGFBR3;TIMP3;CTHRC1;GLIPR1;SPARC;TNFRSF11B;CALU;MFAP5;TGM2;MMP3;HTRA1;FBLN2;PLAUR
gsea,Angiogenesis,0.6060980353037854,1.8522831508208164,9.881423e-03,1.160318e-01,1.670000e-01,16/36,10.85%,COL5A2;VCAN;STC1;JAG1;POSTN;FGFR1;COL3A1;VAV2;TNFRSF21;ITGAV;THBD;FSTL1;SERPINA5;CCND2;MSX1;PDGFA
gsea,Protein Secretion,0.49463076966467384,1.838096491205718,3.099174e-02,1.138154e-01,1.740000e-01,55/96,34.23%,GOLGA4;IGF2R;CLCN3;SEC24D;ADAM10;GBF1;ARFGEF2;DST;TSPAN8;MON2;DNM1L;ATP1A1;KIF1B;ABCA1;DOP1A;SSPN;OCRL;LMAN1;COG2;AP3B1;VPS4B;RPS6KA3;ATP7A;M6PR;AP1G1;ARFGEF1;SCAMP1;STAM;SEC31A;EGFR;USO1;SH3GL2;SNAP23;RAB22A;YIPF6;TMX1;RAB14;SCRN1;STX7;ZW10;GALC;COPB2;RAB5A;AP2B1;ARFGAP3;ARFIP1;TMED10;SGMS1;COPB1;MAPK1;ANP32E;TMED2;PAM;ARCN1;CLTC
